"peripheral name","peripheral address","time since the scan start at: 18:22:14.222","RSSI value [dB]"
"ble_beacon12","94:B9:7E:E6:7A:72","0.029","-71"
"ble_beacon12","94:B9:7E:E6:7A:72","0.295","-64"
"ble_beacon12","94:B9:7E:E6:7A:72","0.340","-63"
"ble_beacon12","94:B9:7E:E6:7A:72","0.386","-51"
"ble_beacon12","94:B9:7E:E6:7A:72","0.468","-51"
"ble_beacon12","94:B9:7E:E6:7A:72","0.975","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","1.066","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","1.969","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","2.102","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","2.192","-61"
"ble_beacon12","94:B9:7E:E6:7A:72","2.519","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","2.563","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","3.723","-60"
"ble_beacon12","94:B9:7E:E6:7A:72","3.863","-58"
"ble_beacon12","94:B9:7E:E6:7A:72","3.908","-66"
"ble_beacon12","94:B9:7E:E6:7A:72","4.089","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","4.129","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","4.172","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","4.212","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","4.296","-58"
"ble_beacon12","94:B9:7E:E6:7A:72","4.387","-51"
"ble_beacon12","94:B9:7E:E6:7A:72","4.658","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","4.708","-48"
"ble_beacon12","94:B9:7E:E6:7A:72","4.753","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","5.154","-48"
"ble_beacon12","94:B9:7E:E6:7A:72","5.201","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","5.289","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","5.711","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","5.756","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","6.249","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","6.293","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","6.337","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","6.377","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","6.784","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","6.879","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","6.967","-50"
"ble_beacon12","94:B9:7E:E6:7A:72","7.279","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","7.325","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","7.366","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","7.415","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","7.595","-59"
"ble_beacon12","94:B9:7E:E6:7A:72","7.636","-60"
"ble_beacon12","94:B9:7E:E6:7A:72","7.908","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","8.546","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","8.589","-59"
"ble_beacon12","94:B9:7E:E6:7A:72","8.987","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","9.030","-49"
"ble_beacon12","94:B9:7E:E6:7A:72","9.077","-50"
