"peripheral name","peripheral address","time since the scan start at: 20:06:43.884","RSSI value [dB]"
"ble_beacon2","E4:65:B8:DA:49:3E","0.025","-73"
"ble_beacon2","E4:65:B8:DA:49:3E","0.298","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","1.067","-65"
"ble_beacon2","E4:65:B8:DA:49:3E","1.466","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","1.513","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","2.143","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","2.236","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","2.328","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","2.689","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","3.273","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","3.996","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","4.046","-65"
"ble_beacon2","E4:65:B8:DA:49:3E","4.324","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","4.371","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","4.746","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","5.046","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","6.221","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","6.268","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","6.394","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","6.612","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","6.660","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","6.889","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","7.569","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","7.786","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","8.450","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","8.735","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","9.135","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","9.181","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","9.677","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","9.807","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","10.157","-65"
"ble_beacon2","E4:65:B8:DA:49:3E","10.203","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","10.248","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","10.895","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","11.383","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","11.471","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","11.566","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","11.835","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","11.929","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","12.013","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","12.278","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","12.370","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","12.460","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","14.016","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","14.154","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","14.278","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","14.372","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","14.455","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","14.549","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","14.590","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","14.636","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","14.683","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","14.861","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","14.905","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","14.991","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","15.243","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","15.515","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","15.604","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","15.694","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","15.777","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","16.234","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","16.419","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","16.700","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","16.749","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","17.496","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","17.864","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","17.910","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","18.084","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","18.721","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","18.900","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","19.072","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","19.161","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","19.375","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","20.141","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","20.734","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","21.005","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","21.095","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","21.226","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","21.713","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","21.811","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","22.132","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","22.811","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","23.140","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","23.277","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","23.318","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","23.547","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","23.593","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","24.267","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","24.613","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","24.879","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","24.919","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","24.968","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","25.012","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","25.052","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","25.675","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","25.943","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","26.217","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","26.487","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","26.975","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","27.815","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","28.000","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","28.636","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","29.220","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","29.264","-61"
"ble_beacon2","E4:65:B8:DA:49:3E","29.355","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","29.488","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","29.977","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","30.467","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","30.693","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","30.781","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","31.051","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","31.145","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","31.278","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","31.325","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","31.374","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","31.546","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","32.419","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","32.503","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","32.647","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","33.331","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","33.597","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","34.008","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","34.267","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","34.316","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","34.487","-66"
"ble_beacon2","E4:65:B8:DA:49:3E","34.586","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","34.769","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","34.992","-63"
"ble_beacon2","E4:65:B8:DA:49:3E","35.991","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","36.130","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","36.174","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","36.262","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","36.497","-64"
"ble_beacon2","E4:65:B8:DA:49:3E","36.593","-62"
"ble_beacon2","E4:65:B8:DA:49:3E","36.641","-62"
