"peripheral name","peripheral address","time since the scan start at: 17:25:32.567","RSSI value [dB]"
"ble_beacon11","24:6F:28:25:5D:CE","0.030","-56"
"ble_beacon11","24:6F:28:25:5D:CE","0.110","-56"
"ble_beacon11","24:6F:28:25:5D:CE","0.157","-56"
"ble_beacon11","24:6F:28:25:5D:CE","0.468","-61"
"ble_beacon11","24:6F:28:25:5D:CE","0.517","-62"
"ble_beacon11","24:6F:28:25:5D:CE","0.646","-53"
"ble_beacon11","24:6F:28:25:5D:CE","1.194","-51"
"ble_beacon11","24:6F:28:25:5D:CE","1.233","-58"
"ble_beacon11","24:6F:28:25:5D:CE","1.596","-58"
"ble_beacon11","24:6F:28:25:5D:CE","1.869","-60"
"ble_beacon11","24:6F:28:25:5D:CE","2.177","-54"
"ble_beacon11","24:6F:28:25:5D:CE","2.268","-56"
"ble_beacon11","24:6F:28:25:5D:CE","2.498","-63"
"ble_beacon11","24:6F:28:25:5D:CE","2.588","-62"
"ble_beacon11","24:6F:28:25:5D:CE","2.812","-54"
"ble_beacon11","24:6F:28:25:5D:CE","2.956","-65"
"ble_beacon11","24:6F:28:25:5D:CE","3.005","-66"
"ble_beacon11","24:6F:28:25:5D:CE","3.225","-55"
"ble_beacon11","24:6F:28:25:5D:CE","3.351","-55"
"ble_beacon11","24:6F:28:25:5D:CE","3.444","-65"
"ble_beacon11","24:6F:28:25:5D:CE","3.484","-62"
"ble_beacon11","24:6F:28:25:5D:CE","3.755","-55"
"ble_beacon11","24:6F:28:25:5D:CE","3.921","-57"
"ble_beacon11","24:6F:28:25:5D:CE","4.405","-56"
"ble_beacon11","24:6F:28:25:5D:CE","4.487","-55"
"ble_beacon11","24:6F:28:25:5D:CE","4.535","-56"
"ble_beacon11","24:6F:28:25:5D:CE","4.673","-63"
"ble_beacon11","24:6F:28:25:5D:CE","4.722","-65"
"ble_beacon11","24:6F:28:25:5D:CE","4.939","-56"
"ble_beacon11","24:6F:28:25:5D:CE","4.983","-56"
"ble_beacon11","24:6F:28:25:5D:CE","5.031","-52"
"ble_beacon11","24:6F:28:25:5D:CE","5.074","-55"
"ble_beacon11","24:6F:28:25:5D:CE","5.167","-63"
"ble_beacon11","24:6F:28:25:5D:CE","5.490","-57"
"ble_beacon11","24:6F:28:25:5D:CE","5.771","-63"
"ble_beacon11","24:6F:28:25:5D:CE","5.954","-67"
"ble_beacon11","24:6F:28:25:5D:CE","6.085","-57"
"ble_beacon11","24:6F:28:25:5D:CE","6.124","-57"
"ble_beacon11","24:6F:28:25:5D:CE","7.100","-57"
"ble_beacon11","24:6F:28:25:5D:CE","7.184","-56"
"ble_beacon11","24:6F:28:25:5D:CE","7.642","-56"
"ble_beacon11","24:6F:28:25:5D:CE","7.772","-56"
"ble_beacon11","24:6F:28:25:5D:CE","8.036","-65"
"ble_beacon11","24:6F:28:25:5D:CE","8.257","-55"
"ble_beacon11","24:6F:28:25:5D:CE","8.433","-55"
"ble_beacon11","24:6F:28:25:5D:CE","9.070","-56"
"ble_beacon11","24:6F:28:25:5D:CE","9.570","-55"
"ble_beacon11","24:6F:28:25:5D:CE","9.615","-55"
"ble_beacon11","24:6F:28:25:5D:CE","10.096","-56"
"ble_beacon11","24:6F:28:25:5D:CE","10.178","-56"
"ble_beacon11","24:6F:28:25:5D:CE","10.221","-64"
"ble_beacon11","24:6F:28:25:5D:CE","10.349","-65"
"ble_beacon11","24:6F:28:25:5D:CE","10.621","-56"
"ble_beacon11","24:6F:28:25:5D:CE","10.895","-56"
"ble_beacon11","24:6F:28:25:5D:CE","10.987","-66"
"ble_beacon11","24:6F:28:25:5D:CE","11.258","-69"
"ble_beacon11","24:6F:28:25:5D:CE","11.338","-56"
"ble_beacon11","24:6F:28:25:5D:CE","11.420","-56"
"ble_beacon11","24:6F:28:25:5D:CE","11.856","-56"
"ble_beacon11","24:6F:28:25:5D:CE","11.894","-56"
"ble_beacon11","24:6F:28:25:5D:CE","12.315","-69"
"ble_beacon11","24:6F:28:25:5D:CE","12.976","-56"
"ble_beacon11","24:6F:28:25:5D:CE","13.475","-67"
"ble_beacon11","24:6F:28:25:5D:CE","13.648","-56"
"ble_beacon11","24:6F:28:25:5D:CE","13.689","-56"
"ble_beacon11","24:6F:28:25:5D:CE","14.137","-58"
"ble_beacon11","24:6F:28:25:5D:CE","14.185","-58"
"ble_beacon11","24:6F:28:25:5D:CE","14.323","-66"
"ble_beacon11","24:6F:28:25:5D:CE","14.642","-58"
"ble_beacon11","24:6F:28:25:5D:CE","14.689","-58"
"ble_beacon11","24:6F:28:25:5D:CE","14.739","-58"
"ble_beacon11","24:6F:28:25:5D:CE","14.786","-58"
"ble_beacon11","24:6F:28:25:5D:CE","14.834","-66"
