"peripheral name","peripheral address","time since the scan start at: 17:01:43.972","RSSI value [dB]"
"ble_beacon3","D8:13:2A:73:7E:76","0.047","-54"
"ble_beacon3","D8:13:2A:73:7E:76","0.186","-55"
"ble_beacon3","D8:13:2A:73:7E:76","0.607","-56"
"ble_beacon3","D8:13:2A:73:7E:76","0.657","-56"
"ble_beacon3","D8:13:2A:73:7E:76","0.698","-54"
"ble_beacon3","D8:13:2A:73:7E:76","0.837","-70"
"ble_beacon3","D8:13:2A:73:7E:76","0.927","-64"
"ble_beacon3","D8:13:2A:73:7E:76","1.096","-54"
"ble_beacon3","D8:13:2A:73:7E:76","1.544","-54"
"ble_beacon3","D8:13:2A:73:7E:76","1.639","-54"
"ble_beacon3","D8:13:2A:73:7E:76","1.922","-62"
"ble_beacon3","D8:13:2A:73:7E:76","2.056","-53"
"ble_beacon3","D8:13:2A:73:7E:76","2.498","-63"
"ble_beacon3","D8:13:2A:73:7E:76","2.584","-54"
"ble_beacon3","D8:13:2A:73:7E:76","2.628","-54"
"ble_beacon3","D8:13:2A:73:7E:76","2.672","-54"
"ble_beacon3","D8:13:2A:73:7E:76","2.988","-63"
"ble_beacon3","D8:13:2A:73:7E:76","3.078","-62"
"ble_beacon3","D8:13:2A:73:7E:76","3.162","-54"
"ble_beacon3","D8:13:2A:73:7E:76","3.210","-54"
"ble_beacon3","D8:13:2A:73:7E:76","3.259","-55"
"ble_beacon3","D8:13:2A:73:7E:76","3.567","-63"
"ble_beacon3","D8:13:2A:73:7E:76","3.613","-62"
"ble_beacon3","D8:13:2A:73:7E:76","3.743","-55"
"ble_beacon3","D8:13:2A:73:7E:76","3.834","-55"
"ble_beacon3","D8:13:2A:73:7E:76","4.236","-55"
"ble_beacon3","D8:13:2A:73:7E:76","4.605","-62"
"ble_beacon3","D8:13:2A:73:7E:76","4.645","-63"
"ble_beacon3","D8:13:2A:73:7E:76","4.732","-63"
"ble_beacon3","D8:13:2A:73:7E:76","4.777","-54"
"ble_beacon3","D8:13:2A:73:7E:76","4.819","-55"
"ble_beacon3","D8:13:2A:73:7E:76","4.862","-54"
"ble_beacon3","D8:13:2A:73:7E:76","5.274","-63"
"ble_beacon3","D8:13:2A:73:7E:76","5.312","-54"
"ble_beacon3","D8:13:2A:73:7E:76","5.352","-54"
"ble_beacon3","D8:13:2A:73:7E:76","5.398","-54"
"ble_beacon3","D8:13:2A:73:7E:76","5.611","-75"
"ble_beacon3","D8:13:2A:73:7E:76","5.659","-78"
"ble_beacon3","D8:13:2A:73:7E:76","6.013","-54"
"ble_beacon3","D8:13:2A:73:7E:76","6.235","-63"
"ble_beacon3","D8:13:2A:73:7E:76","6.282","-63"
"ble_beacon3","D8:13:2A:73:7E:76","6.461","-54"
"ble_beacon3","D8:13:2A:73:7E:76","6.550","-54"
"ble_beacon3","D8:13:2A:73:7E:76","6.767","-63"
"ble_beacon3","D8:13:2A:73:7E:76","6.947","-54"
"ble_beacon3","D8:13:2A:73:7E:76","7.035","-54"
"ble_beacon3","D8:13:2A:73:7E:76","7.345","-63"
"ble_beacon3","D8:13:2A:73:7E:76","7.383","-63"
"ble_beacon3","D8:13:2A:73:7E:76","7.426","-63"
"ble_beacon3","D8:13:2A:73:7E:76","7.517","-54"
"ble_beacon3","D8:13:2A:73:7E:76","7.558","-54"
"ble_beacon3","D8:13:2A:73:7E:76","7.879","-62"
"ble_beacon3","D8:13:2A:73:7E:76","8.011","-63"
"ble_beacon3","D8:13:2A:73:7E:76","8.138","-54"
"ble_beacon3","D8:13:2A:73:7E:76","8.188","-54"
