"peripheral name","peripheral address","time since the scan start at: 15:34:05.986","RSSI value [dB]"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.042","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.177","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.223","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.315","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.361","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.408","-50"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.542","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.816","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.865","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.960","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.006","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.231","-47"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.498","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.584","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.808","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.951","-47"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.036","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.126","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.176","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.269","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.410","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.460","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.688","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.740","-47"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.828","-47"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.919","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.226","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.273","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.311","-49"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.397","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.443","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.490","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.585","-48"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.626","-48"
