"peripheral name","peripheral address","time since the scan start at: 17:28:55.322","RSSI value [dB]"
"BLErasp4","B8:27:EB:90:CF:C7","0.324","-83"
"BLErasp4","B8:27:EB:90:CF:C7","41.336","-82"
"BLErasp4","B8:27:EB:90:CF:C7","41.336","-82"
"BLErasp4","B8:27:EB:90:CF:C7","66.973","-86"
"BLErasp4","B8:27:EB:90:CF:C7","66.973","-86"
"BLErasp4","B8:27:EB:90:CF:C7","77.231","-85"
"BLErasp4","B8:27:EB:90:CF:C7","77.231","-85"
"BLErasp4","B8:27:EB:90:CF:C7","91.340","-87"
"BLErasp4","B8:27:EB:90:CF:C7","91.340","-87"
"BLErasp4","B8:27:EB:90:CF:C7","102.877","-83"
"BLErasp4","B8:27:EB:90:CF:C7","102.877","-83"
"BLErasp5","B8:27:EB:2A:B6:D3","0.982","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","2.277","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","4.829","-36"
"BLErasp5","B8:27:EB:2A:B6:D3","6.109","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","7.390","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","7.390","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","8.673","-36"
"BLErasp5","B8:27:EB:2A:B6:D3","8.673","-36"
"BLErasp5","B8:27:EB:2A:B6:D3","11.238","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","11.238","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","12.520","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","12.520","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","13.799","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","13.799","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","15.084","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","15.084","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","16.363","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","16.363","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","17.648","-41"
"BLErasp5","B8:27:EB:2A:B6:D3","17.648","-41"
"BLErasp5","B8:27:EB:2A:B6:D3","18.925","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","18.925","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","21.487","-36"
"BLErasp5","B8:27:EB:2A:B6:D3","21.487","-36"
"BLErasp5","B8:27:EB:2A:B6:D3","22.768","-36"
"BLErasp5","B8:27:EB:2A:B6:D3","22.768","-36"
"BLErasp5","B8:27:EB:2A:B6:D3","29.177","-41"
"BLErasp5","B8:27:EB:2A:B6:D3","29.177","-41"
"BLErasp5","B8:27:EB:2A:B6:D3","30.454","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","30.454","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","31.740","-42"
"BLErasp5","B8:27:EB:2A:B6:D3","31.740","-42"
"BLErasp5","B8:27:EB:2A:B6:D3","33.019","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","33.019","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","34.300","-42"
"BLErasp5","B8:27:EB:2A:B6:D3","34.300","-42"
"BLErasp5","B8:27:EB:2A:B6:D3","38.140","-43"
"BLErasp5","B8:27:EB:2A:B6:D3","38.140","-43"
"BLErasp5","B8:27:EB:2A:B6:D3","39.421","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","39.421","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","40.704","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","40.704","-39"
"BLErasp5","B8:27:EB:2A:B6:D3","41.984","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","41.984","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","43.269","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","43.269","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","44.552","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","44.552","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","45.838","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","45.838","-37"
"BLErasp5","B8:27:EB:2A:B6:D3","47.117","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","47.117","-40"
"BLErasp5","B8:27:EB:2A:B6:D3","48.399","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","48.399","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","49.683","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","49.683","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","52.245","-45"
"BLErasp5","B8:27:EB:2A:B6:D3","52.245","-45"
"BLErasp5","B8:27:EB:2A:B6:D3","53.527","-38"
"BLErasp5","B8:27:EB:2A:B6:D3","53.527","-38"
