"peripheral name","peripheral address","time since the scan start at: 15:25:46.595","RSSI value [dB]"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.104","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.235","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.516","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.744","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.843","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.889","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.974","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.018","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.060","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.231","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.322","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.408","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.459","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.515","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.555","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.603","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.727","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.182","-50"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.395","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.494","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.672","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.812","-56"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.905","-55"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.036","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.174","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.217","-50"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.310","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.403","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.445","-56"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.488","-56"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.754","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.807","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.855","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.946","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.214","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.264","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.390","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.434","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.482","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.571","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.613","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.700","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.744","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.788","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.024","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.066","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.295","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.336","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.426","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.560","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.655","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.787","-51"
