"peripheral name","peripheral address","time since the scan start at: 16:31:46.934","RSSI value [dB]"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.042","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.413","-65"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.506","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.550","-57"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.777","-56"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.868","-59"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","0.917","-56"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.097","-66"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.232","-58"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.407","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.454","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.496","-56"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","1.808","-58"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.024","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.116","-59"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.163","-59"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.255","-59"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.429","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.518","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.567","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","2.794","-60"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.048","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.093","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.176","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.448","-60"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.488","-60"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.537","-60"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.581","-59"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.629","-60"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.766","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.809","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.854","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","3.899","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.045","-63"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.082","-63"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.173","-60"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.257","-59"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.354","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.393","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.611","-66"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","4.658","-66"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","5.020","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","5.153","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","5.244","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","5.744","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","5.791","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","5.886","-52"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","6.367","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","6.455","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","6.505","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","6.634","-64"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","6.684","-64"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","6.776","-57"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","6.955","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.000","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.046","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.132","-53"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.183","-64"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.513","-57"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.559","-55"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.606","-56"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","7.691","-56"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.063","-59"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.110","-58"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.333","-56"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.377","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.423","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.469","-55"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.519","-66"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.608","-67"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.744","-57"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.785","-57"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.831","-57"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.878","-57"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","8.923","-58"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","9.013","-54"
"BLEBeacon7_esp","94:B9:7E:E5:11:D2","9.107","-54"
