"peripheral name","peripheral address","time since the scan start at: 16:43:32.796","RSSI value [dB]"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.029","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.071","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.198","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.563","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.646","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.695","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.338","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.385","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.573","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.623","-67"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.967","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.281","-67"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.870","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.235","-62"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.274","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.315","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.411","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.495","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.542","-63"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.586","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.943","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.985","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.070","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.168","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.297","-65"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.653","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.700","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.745","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.790","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.924","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.240","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.281","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.369","-66"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.819","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.096","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.138","-65"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.404","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.537","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.860","-63"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.080","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.120","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.215","-65"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.352","-66"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.892","-65"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","8.388","-65"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","8.744","-62"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","9.253","-62"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","9.566","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","9.796","-65"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","9.843","-62"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","10.027","-62"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","10.287","-64"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","10.332","-65"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","10.687","-58"
